Date,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BABA,NVDA,DIS,NFLX
2016-04-15,25.54311180114746,51.029476165771484,625.8900146484375,759.0,109.63999938964844,50.902000427246094,78.97000122070312,36.46209716796875,93.0140609741211,111.51000213623047
2016-04-18,24.992023468017578,51.772220611572266,635.3499755859375,766.6099853515625,110.44999694824219,50.7760009765625,79.01000213623047,36.30497741699219,95.74061584472656,108.4000015258789
2016-04-19,24.85948371887207,51.70803451538086,627.9000244140625,753.9299926757812,112.29000091552734,49.4739990234375,79.45999908447266,35.65684509277344,96.83499908447266,94.33999633789062
2016-04-20,24.910642623901367,50.974456787109375,632.989990234375,752.6699829101562,112.41999816894531,49.99399948120117,81.20999908447266,35.794334411621094,97.42937469482422,96.7699966430664
2016-04-21,24.640911102294922,51.148681640625,631.0,759.1400146484375,113.44000244140625,49.65800094604492,80.77999877929688,35.755043029785156,97.08973693847656,94.9800033569336
2016-04-22,24.57347869873047,47.480804443359375,620.5,718.77001953125,110.55999755859375,50.75,79.88999938964844,35.61756896972656,97.9011001586914,95.9000015258789
2016-04-25,24.4339599609375,47.78339385986328,626.2000122070312,723.1500244140625,110.0999984741211,50.36399841308594,78.83999633789062,35.794334411621094,98.65585327148438,93.55999755859375
2016-04-26,24.264211654663086,47.169029235839844,616.8800048828125,708.1400146484375,108.76000213623047,50.74800109863281,78.61000061035156,35.823787689208984,98.957763671875,92.43000030517578
2016-04-27,22.745811462402344,46.71053695678711,606.5700073242188,705.8400268554688,108.88999938964844,50.29399871826172,77.6500015258789,36.63886260986328,99.32569122314453,91.04000091552734
2016-04-28,22.05055809020996,45.75688934326172,602.0,691.02001953125,116.7300033569336,49.54199981689453,76.4000015258789,35.54883575439453,98.14639282226562,90.27999877929688
2016-04-29,21.797100067138672,45.72937774658203,659.5900268554688,693.010009765625,117.58000183105469,48.152000427246094,76.94000244140625,34.8908805847168,97.4199447631836,90.02999877929688
2016-05-02,21.773847579956055,46.40795135498047,683.8499755859375,698.2100219726562,118.56999969482422,48.36000061035156,76.61000061035156,35.35242462158203,98.4577407836914,93.11000061035156
2016-05-03,22.13193702697754,45.646846771240234,671.3200073242188,692.3599853515625,117.43000030517578,46.4640007019043,75.91000366210938,34.9301643371582,97.91053009033203,91.54000091552734
2016-05-04,21.90174102783203,45.72937774658203,670.9000244140625,695.7000122070312,118.05999755859375,44.512001037597656,75.81999969482422,34.13471984863281,97.80674743652344,90.79000091552734
2016-05-05,21.81283950805664,45.79356384277344,659.0900268554688,701.4299926757812,117.80999755859375,42.305999755859375,78.83000183105469,34.3409538269043,98.99549865722656,89.37000274658203
2016-05-06,21.69118881225586,46.20620346069336,673.9500122070312,711.1199951171875,119.48999786376953,42.986000061035156,79.19999694824219,34.69448471069336,99.57099151611328,90.83999633789062
2016-05-09,21.707569122314453,45.91278076171875,679.75,712.9000244140625,119.23999786376953,41.784000396728516,79.41000366210938,34.64537811279297,99.3823013305664,90.54000091552734
2016-05-10,21.854948043823242,46.783905029296875,703.0700073242188,723.1799926757812,120.5,41.737998962402344,79.72000122070312,35.31314468383789,100.571044921875,92.88999938964844
2016-05-11,21.642059326171875,46.81141662597656,713.22998046875,715.2899780273438,119.5199966430664,41.79199981689453,79.80000305175781,35.411338806152344,96.50480651855469,90.0199966430664
2016-05-12,21.134403228759766,47.233211517333984,717.9299926757812,713.3099975585938,120.27999877929688,41.45600128173828,79.16000366210938,34.9301643371582,95.95759582519531,87.73999786376953
2016-05-13,21.176513671875,46.83891677856445,709.9199829101562,710.8300170898438,119.80999755859375,41.52199935913086,77.16000366210938,40.24283981323242,94.83489990234375,87.87999725341797
2016-05-16,21.962560653686523,47.526649475097656,710.6599731445312,716.489990234375,118.66999816894531,41.65800094604492,79.29000091552734,41.43107223510742,94.68395233154297,89.12000274658203
2016-05-17,21.871320724487305,46.64019012451172,695.27001953125,706.22998046875,117.3499984741211,40.93199920654297,79.3499984741211,41.51945495605469,94.2877197265625,88.62999725341797
2016-05-18,22.12164306640625,46.917205810546875,697.4500122070312,706.6300048828125,117.6500015258789,42.23400115966797,79.02999877929688,42.58002853393555,93.40087127685547,90.5
2016-05-19,22.03742790222168,46.464744567871094,698.52001953125,700.3200073242188,116.80999755859375,43.04199981689453,78.31999969482422,42.7666130065918,92.84425354003906,89.55000305175781
2016-05-20,22.276042938232422,46.74176788330078,702.7999877929688,709.739990234375,117.3499984741211,44.055999755859375,78.79000091552734,43.5325813293457,94.13675689697266,92.48999786376953
2016-05-23,22.55911636352539,46.19697189331055,696.75,704.239990234375,115.97000122070312,43.24399948120117,79.0,43.601318359375,93.57068634033203,94.88999938964844
2016-05-24,22.90301513671875,47.637454986572266,704.2000122070312,720.0900268554688,117.69999694824219,43.582000732421875,81.12000274658203,44.65972900390625,93.88204193115234,97.88999938964844
2016-05-25,23.305397033691406,48.12684631347656,708.3499755859375,725.27001953125,117.88999938964844,43.91600036621094,75.58999633789062,44.47265625,94.21224212646484,100.19999694824219
2016-05-26,23.49021339416504,47.914466857910156,714.9099731445312,724.1199951171875,119.47000122070312,45.02399826049805,78.3499984741211,44.94524383544922,94.16505432128906,102.80999755859375
2016-05-27,23.476171493530273,48.311519622802734,712.239990234375,732.6599731445312,119.37999725341797,44.608001708984375,80.97000122070312,45.19138717651367,94.61791229248047,103.30000305175781
2016-05-31,23.361541748046875,48.93942642211914,722.7899780273438,735.719970703125,118.80999755859375,44.645999908447266,82.0,45.99873352050781,93.60843658447266,102.56999969482422
